,precision,recall,f1-score,support
negative_1,0.8823155216284987,0.8355421686746988,0.8582920792079208,1660.0
negative_2,0.7931583134447097,0.8027375201288245,0.7979191676670668,1242.0
neutral,0.5862068965517241,0.47752808988764045,0.5263157894736842,178.0
positive,0.8023715415019763,0.9206349206349206,0.8574445617740233,882.0
very_negative,1.0,0.3142857142857143,0.4782608695652174,35.0
accuracy,0.8236177132849637,0.8236177132849637,0.8236177132849637,0.8236177132849637
macro avg,0.8128104546253818,0.6701456827223596,0.7036464935375826,3997.0
weighted avg,0.824814340353412,0.8236177132849637,0.8212334005938036,3997.0
